Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
other	2008	10.1099_ijs.0.65697_0	DQ191182	66.5	aerobic	1.4_3.1	0.4_0.6	non_motile	no	catalase_positive	Croceitalea	dokdonensis	DOKDO_023	8.5_9	07_Oct	35	Dec_38	3.1	0.8_5.4	yes	rod	chain	2505	KCCM42308_JCM13826	acetate__alanine__alanine__cellobiose__dextrin__fructose__glucose__lactose__maltose__mannose__melibiose__proline__raffinose__threonine		negative	rhizosphere_of_brown_alga	Yes
marine_sediment	2006	10.1099_ijs.0.64216_0	DQ195164	32	anaerobic		1.5_2	motile__but_unspecified_structure	not_indicated		Methanococcus	aeolicus	Nankai_3	6.5_7.5	5.5_7.5	40_50	20_55	0.29_5.8	0.29_5.8	yes	cocci	chain	1525	OCM812_DSM17508	formic_acid		NA		No
marine_sediment	2006	10.1099_ijs.0.64121_0	DQ195675	64	facultative_anaerobe	1.6_2.6	0.6_0.8	flagella	no	catalase_positive__oxidase_positive__urease_positive	Zobellella	denitrificans	ZD1	07_Aug	06_Oct	30_35	Oct_45	01_Mar	0_12	yes	rod	chain	1209	BCRC17493_JCM13380	cellobiose__galactose__glucose__maltose__mannitol__mannose__melibiose__ribose__sorbitol__sucrose__trehalose		negative		No
marine_sediment	2006	10.1099_ijs.0.64121_0	DQ195676	62	facultative_anaerobe	1_1.9	0.6_0.7	flagella	no	catalase_positive__oxidase_positive__urease_positive	Zobellella	taiwanensis	ZT1	7	7	30_35	Oct_45	01_Mar	0_14	yes	rod	chain	1209	BCRC17494_JCM13381	adonitol__glucose__maltose__mannitol__mannose__sucrose		negative		No
other	2010	10.1099_ijs.0.013169_0	DQ196621	28.5	anaerobic	2.2_10	0.4_1	not_indicated	yes	alpha_galactosidase	Clostridium_	Clostridium_cavendishii	BL_28	6.9_8	6_8.5	15_46	37_46		0_3	NA	rod	not_indicated	358	NRRLB_51352_DSM21758	cellobiose__fructose__glucose__maltose__salicin__trehalose		positive	chlorinated_solvent_contaminated_groundwater	No
other	2010	10.1099_ijs.0.013169_0	DQ196621	28.5	facultative_anaerobe	6.1	0.7	not_indicated	yes	aesculin_hydrolysis	Clostridium	cavendishii	BL_28	7.45	6_8.5	41.5	15_46		Up_to_3	yes	rod	not_indicated	358	NRRL_B_51352_DSM_21758			positive	Contaminated_groundwater	No
other	2010	10.1099_ijs.0.013169_0	DQ196623	30.4	facultative_anaerobe	2_5.5	0.7_1.1	flagella	yes	H2S_production	Clostridium_	Clostridium_hydrogeniformans	BL_20	6.9_8.9	05_10_14	30_40	15_40		0_5	NA	rod	not_indicated	358	NRRLB_51348_DSM21757			positive	chlorinated_solvent_contaminated_groundwater	No
other	2010	10.1099_ijs.0.013169_0	DQ196623	30.4	facultative_anaerobe	3.75	0.9	flagella	yes	aesculin_hydrolysis__gelatinase__H2S_production	Clostridium	hydrogeniformans	_BL_20	7.9	05_Oct	35	15_40		Up_to_5	yes	rod	not_indicated	358	NRRL_B_51348_DSM_21757	salicin		positive	Contaminated_groundwater	No
other	2006	10.1099_ijs.0.64317_0	DQ196625	67.5_67.9	facultative_anaerobe			non_motile	no	catalase_positive	Brooklawnia	cerclae	BL_34	6.5	4.5_8	37	Oct_40	0	0_3	yes	rod	chain	1977	LMG23248_NRRLB_41418	arabinose__fructose__galactose__glucose__glycerol__glycogen__lactate__maltose__mannitol__mannose__pyruvic_acid_pyruvate__rhamnose__ribose		positive	groundwater	No
marine_sediment	2006	10.1099_ijs.0.64128_0	DQ200982	76.6	aerobic			motile__but_unspecified_structure	no	aesculin_hydrolysis__catalase_positive	Kineococcus	marinus	KST3_3	7.1	5.1_10.1	30	Apr_37	01_Apr	01_Sep	yes	cocci	chain	1279	KCCM42250_NRRLB_24439	acetate__alanine__alanine__alpha_cyclodextrin__arabinose__arabitol__asparagine__cellobiose__dextrin__fructose__fucose__galactose__galcturonic_acid__gluconic_acid__glucose__lactose__maltose__mannitol__raffinose__rhamnose__ribose__salicin__serine__sucrose__trehalose__uridine__xylitol		positive		No
marine_sediment	2006	10.1099_ijs.0.64345_0	DQ202393	34.6	aerobic	1.3_2	0.5	non_motile	no	alkaline_phosphatase__oxidase_positive	Gillisia	myxillae	UST050418_085	07_Sep	05_Oct	Dec_20	Apr_28	04_Jun	02_Oct	yes	rod	chain	1795	JCM13546_NRRLB_41416	arabinose__galactose__glucose__glycerol__mannitol__melibiose__sorbitol__sucrose		negative	marine_sponge	No
other	2006	10.1099_ijs.0.64222_0	DQ205516	61.2	aerobic	1.4_3.6	0.8_1.0	motile__but_unspecified_structure	no	catalase_positive__indole_production__nitrate_reduction_to_nitrite__oxidase_positive	Natronorubrum	aibiense	07_Mar	8	6.5_9.5	45	20_50	15.08_17.98	11.6_25	yes	rod	chain	1515	CGMCC1.4299_JCM13488	galactose__glucose__maltose__sucrose		negative	salt_lake	No
other	2007	10.1099_ijs.0.64655_0	DQ208689	60.1				flagella	yes		Desulfovirgula	thermocuniculi	RL80JIVT	6.8_7.3	6.4_7.9	69_72	61_80	0	0_0.5	NA	rod	not_indicated	98	DSM16036T_JCM13928T	lactate__pyruvic_acid_pyruvate		positive	underground_mine	No
soil	2006	0.1099_ijs.0.64165_0	DQ208700		aerobic	1	0.7	non_motile	yes	nitrate_reduction_to_nitrite	Streptacidiphilus	oryzae	TH49	05_Jun	3_6.5	30	28_37	0	0	yes	rod	chain	1257	CGMCC4.2012_JCM13271	alanine__alanine__arabinose__arabitol__cellobiose__fructose__galactose__glucose__glycogen__histidine__lactose__mannitol__mannose__phenylalanine__pyruvic_acid_pyruvate__raffinose__rhamnose__salicin__threonine		positive	acidic_rice_field_soil	No
seawater	2006	10.1099_ijs.0.64130_0	DQ212914	41	aerobic	1.4_2.2	0.4_0.7	non_motile	no	aesculin_hydrolysis__catalase_positive__H2S_production__nitrate_reduction_to_nitrite__oxidase_positive	Thalassomonas	agarivorans	TMA1	07_Sep	07_Sep	25	15_37	3	01_May	yes	rod	chain	1245	BCRC17492_JCM13379			negative		No
soil	2006	10.1099_ijs.0.64120_0	DQ218275	72.1	aerobic	0.8_3	0.4_0.7	non_motile	no	oxidase_positive	Nocardioides	kongjuensis	A2_4	07_Aug	5.5_8	30	Oct_40	0	0_5	yes	ovoid_coccobacillus	chain	1783	KCTC19054_JCM12609	malate__mannose__pyruvic_acid_pyruvate__trehalose		positive		No
freshwater_sediment_river__lake__pond	2010	10.1099_ijs.0.018523_0	DQ219354	65	facultative_anaerobe			non_motile	no	catalase_positive__nitrate_reduction_to_nitrite	Corynebacterium	marinum	D7015	7	7	30_32	Apr_37	0_1	0_8	yes	rod	chain	1944	CGMCC1.6998_NRRLB_24779	glucose__glycogen__maltose__sucrose		positive		No
marine_sediment	2010	10.1099_ijs.0.018523_0	DQ219354	65	facultative_anaerobe			non_motile	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__pyrazinamidase	Corynebacterium	marinum	D7015				Apr_37	1	0_8	yes	rod	not_indicated	1944	CGMCC_1.6998_NRRL_B_24779	glycogen__maltose__salicin		positive		No
marine_sediment	2007	10.1099_ijs.0.64478_0	DQ219355	57.1	aerobic			motile__but_unspecified_structure	no	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Sneathiella	chinensis	LMG_23452T_			20.5	Apr_37	1.5	0_3	yes	rod	not_indicated	114	CBMAI_737T	Tween_20__Tween_40__Tween_60__Tween_80		negative		No
hotspring	2008	10.1099_ijs.0.65363_0	DQ221694	45	aerobic	8.75	0.75	flagella	yes	gelatinase__oxidase_positive	Caldalkalibacillus	uzonensis	JW_WZ_YB58	8.3	6.4_9.7	51	42_64		0_6	NA	rod	not_indicated	1106	ATCC_BAA_1258_DSM_17740	arabinose__fructose__lactose__sucrose__trehalose		positive		No
soil	2006	10.1099_ijs.0.64243_0	DQ222427	35	aerobic	02_Mar	0.5	non_motile	no	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Flavobacterium	daejeonense	GH1_10	7	06_Aug	30_35	May_35	0_3	0_3	yes	rod	chain	1645	KACC11422_DSM17708	arabinose__glucose__maltose__mannose		negative		No
soil	2006	10.1099_ijs.0.64243_0	DQ222428	39	aerobic	1.5_2.5	0.3	non_motile	no	catalase_positive__gelatinase__oxidase_positive	Flavobacterium	suncheonense	GH29_5	7	06_Aug	30_37	15_37	0_1	0_1	yes	rod	chain	1645	KACC11423_DSM17707			negative		No
food_product	2006	10.1099_ijs.0.63699_0	DQ223729	43.1	anaerobic	1_1.4	0.8_1.2	non_motile	no		Megasphaera	sueciensis	VTT_E_97791	7	7	30	15_37	0	0	yes	cocci	chain	695	DSM17042	gluconic_acid__pyruvic_acid_pyruvate		negative	spoiled_beer	No
food_product	2006	10.1099_ijs.0.63699_0	DQ223730	40.5	anaerobic	1.2_1.9	1_1.4	non_motile	no	H2S_production	Megasphaera	paucivorans	VTT_E_032341	7	7	30	15_37	0	0	yes	cocci	chain	695	DSM16981	gluconic_acid		negative	spoiled_beer	No
food_product	2006	10.1099_ijs.0.63699_0	DQ223731	38.8	anaerobic	Mar_50	0.6_0.8	motile__but_unspecified_structure	no	H2S_production	Pectinatus	haikarae	VTT_E_88329	7	7	20_30	15_30	0	0	yes	rod	chain	695	DSM16980	gluconic_acid__lactose__mannitol__melibiose__propionic_acid_propionate		negative	spoiled_beer	No
other	2007	10.1099_ijs.0.65003_0	DQ227305	47.9	aerobic	1.55		non_motile	no	alkaline_phosphatase__catalase_positive__oxidase_positive	Salimicrobium	lutem	BY_5T	7.5_8	6.5_8	37	Oct_44	10	Feb_27	yes	cocci	not_indicated	2406	KCTC3989T_CIP108918T	cellobiose__fructose__galactose__glucose__maltose__mannitol__mannose__pyruvic_acid_pyruvate__ribose__sucrose__trehalose__Tween_60		positive	marine_solar_saltern	No
soil	2010	10.1099_ijs.0.019364_0	DQ234446	43.5_46.5	aerobic	01_Mar	0.3_0.5	non_motile	not_indicated	aesculin_hydrolysis__catalase_positive__oxidase_positive	Mucilaginibacter	lappiensis	ANJLI2	6	4.5_8	25	0_31	0	0_1.5	yes	rod	chain	2849	ATCCBAA_1855_LMG25358	arabinose__cellobiose__galactose__lactose__maltose__mannose__salicin__sucrose__trehalose__xylose		negative	lichen_and_soil_sample	No
soil	2006	10.1099_ijs.0.64148_0	DQ235228	39.7	aerobic	0.7_4	0.3_0.5	non_motile	no		Pedobacter	sandarakinus	DS_27	7_7.5	5.5_7.5	30	Apr_33	0_0.5	0_2	yes	rod	chain	1273	KCTC12559_CIP108922	5_ketoguconate__cellobiose__galactose__glycogen__maltose__salicin		negative		No
soil	2007	10.1099_ijs.0.64815_0	DQ235688		aerobic						Nocardia	coubleae	OFN_N12T			37	25_37						1482	DSM44960T_CIP108996T	fructose__galactose__glucose__glycerol__maltose__mannitol__mannose__raffinose__ribose__sucrose		positive		No
soil	2007	10.1099_ijs.0.64975_0	DQ239766	70.4	aerobic			motile__but_unspecified_structure	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Arenimonas	malthae	CC_JY_1T			30	15_36			no	rod	not_indicated	2790	CCUG53596T_5CIP109310T	3_hydroxybutyrate__alanine__alaninamide__alanine__alpha_ketovaleric_acid__asparagine__aspartic_acid_aspartate__glutamic_acid__glycogen__leucine__phenylalanine__proline__propionic_acid_propionate__pyruvic_acid_pyruvate__pyruvic_acid_methyl_ester__serine		negative		Yes
soil	2007	10.1099_ijs.0.64975_0	DQ239766	70.4	aerobic			motile__but_unspecified_structure	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Arenimonas	malthae	CC_JY_1T			25.5	15_36			no	rod	not_indicated	2790	CCUG53596T_CIP109310T	3_hydroxybutyrate__alanine__alaninamide__alanine__alpha_ketovaleric_acid__asparagine__aspartic_acid_aspartate__glutamic_acid__glycogen__leucine__phenylalanine__proline__propionic_acid_propionate__pyruvic_acid_pyruvate__pyruvic_acid_methyl_ester__serine		negative		Yes
soil	2006	10.1099_ijs.0.64242_0	DQ244076	44.3	aerobic	Oct_40	0.4_0.6	non_motile	no	aesculin_hydrolysis__alkaline_phosphatase__alpha_galactosidase__oxidase_positive	Niastella	yeongjuensis	GR20_13	7	05_Aug	30_33	15_33	0	0	yes	rod	chain	1777	KACC11466_DSM17621			negative		No
soil	2006	10.1099_ijs.0.64242_0	DQ244077	45.8	aerobic	Oct_50	0.5_0.5	non_motile	no	alkaline_phosphatase__alpha_galactosidase	Niastella	koreensis	GR20_10	7	05_Aug	30_37	Oct_37	0	0	yes	rod	chain	1777	KACC11465_DSM17620			negative		No
other	2010	10.1099_ijs.0.014803_0	DQ246623	70.6	aerobic			non_motile	yes		Herbidospora_	Herbidospora_yilanensis	0351M_12			30	20_40			no	not_indicated	not_indicated	1168	FIRDI003_BCRC1875_LMG24337	glycerol__mannose__melibiose__salicin__trehalose		positive	sediment	No
other	2010	10.1099_ijs.0.014803_0	DQ246623	70.6	aerobic			non_motile	yes		Herbidospora	yilanensis	0351M_12				20_40		Up_to_1	no	not_indicated	not_indicated	1168	FIRDI_003_BCRC_16875_LMG_24337	fructose__galactose__glucose__glycerol__lactate__maltose__mannitol__mannose__melibiose__myo_inositol__raffinose__rhamnose__salicin__succinic_acid_succinate__sucrose__trehalose		positive	Sediment	No
soil	2006	10.1099_ijs.0.64163_0	DQ256728	65	aerobic			flagella	no	catalase_positive__oxidase_positive	Chitinimonas	koreensis	R2A43_10	7	05_Aug	30_40	Oct_40	0_1	0_1	yes	rod	chain	1761	KACC11467_DSM17726	3_hydroxybutyrate__glucose__glycogen__histidine__malate__maltose__mannose__proline__serine__sucrose		negative		No
soil	2006	10.1099_ijs.0.64179_0	DQ256729	37.8	aerobic	2_3.5	0.7_0.8	non_motile	no	catalase_positive__gelatinase__oxidase_positive	Chryseobacterium	wanjuense	R2A10_2	7	05_Sep	28	May_37	0_1	0_2	yes	rod	chain	1501	KACC11468_DSM17724	glucose__glycogen__malonic_acid_malonate__maltose__mannose__proline		negative		No
food_product	2007	10.1099_ijs.0.64650_0	DQ273681	57.8	facultative_anaerobe	1.5_2.5	1	motile__but_unspecified_structure	no	catalase_positive__oxidase_positive	Enterobacter	turicensis	508_05T			27	Oct_44			yes	cocci	clump	820	LMG23730T_DSM18397T	2_ketogluconate__alanine__alanine__arabinose__aspartic_acid_aspartate__cellobiose__fructose__galactose__glucosamine__glucose__glutamic_acid__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__melibiose__proline__rhamnose__ribose__serine__trehalose__xylose		negative		No
other	2008	10.1099_ijs.0.65427_0	DQ273684	57	facultative_anaerobe	2.25	0.95	motile__but_unspecified_structure	not_indicated	catalase_positive__oxidase_positive	Enterobacter	pulveris	601_05				Oct_44			yes	rod	none	237	LMG_24057_DSM_19144	2_ketogluconate__5_ketoguconate__alanine__alanine__arabinose__arabitol__aspartic_acid_aspartate__cellobiose__fructose__galactose__galcturonic_acid__gluconic_acid__glucosamine__glucose__glutamic_acid__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__proline__quinic_acid__raffinose__rhamnose__ribose__serine__sucrose__trehalose__xylose		negative	Fruit_powder	No
food_product	2007	10.1099_ijs.0.64650_0	DQ273688	55.2	facultative_anaerobe	1.5_2.5	1	motile__but_unspecified_structure	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Enterobacter	helveticus	513_05T			27	Oct_44			yes	cocci	clump	820	LMG23732T_DSM18396T	3_hydroxybenzoate__3_hydroxybenzoate__alanine__alanine__arabinose__aspartic_acid_aspartate__cellobiose__fructose__galactose__gluconic_acid__glucosamine__glucose__glutamic_acid__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__melibiose__proline__rhamnose__ribose__serine__trehalose__xylose		negative		No
soil	2007	10.1099_ijs.0.65227_0	DQ280367	43.3	aerobic	1.5	1.7	flagella	yes	catalase_positive	Bacillus	kribbensis	BT080T	6	4.0_9.5	31.5	13_47	1.5	0_6		rod	not_indicated	2912	KCTC13934T_DSM17871T	cellobiose__fructose__gelatin__glucose__lactose__maltose__melibiose__ribose__trehalose__xylose		positive		No
other	2007	10.1099_ijs.0.65285_0	DQ280368	66	NA	2.2	1.6	flagella	no	aesculin_hydrolysis__catalase_positive__gelatinase__nitrate_reduction_to_nitrite	Halomonas	kribbensis	BH843T	8.25	5.5_9.5	33.5	Oct_40	5	Jan_14	yes	rod	clump	2194	KCTC12584T_DSM17892T			negative	solar_saltern	No
other	2007	10.1099_ijs.0.64582_0	DQ280369	56	aerobic	1.1_1.8	0.5_0.8	motile__but_unspecified_structure	no	catalase_positive	Leeia	oryzae	HW7T	6	5_8.5	32_35	Oct_40			no	rod	not_indicated	1204	KCTC12585T_DSM17879T	arabinose__glucose__mannose__ribose		negative	rice_field_	No
seawater	2008	10.1099_ijs.0.65429_0	DQ280370	72	aerobic	2.1	1.2	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__gelatinase__oxidase_positive__urease_positive	Albimonas	donghaensis	DS2	7.5	6_9.5	29	Oct_38	3.5	0_14	NA	rod	not_indicated	282	KCTC_12586_DSM_17890	arabinose__xylose		negative		No
other	2011	10.1099_ijs.0.021782_0	DQ282124_	54.5			0.5	non_motile		methane_production	Methanoregula	boonei	Candidatus_Methanoregula_boonei	5.1	4.5_5.5	36	Oct_40				rod	not_indicated	45	DSM_21154			negative	Acidic_peat_bog	No
other	2011	10.1099_ijs.0.021782_0	DQ282124_	54.5	anaerobic			non_motile	not_indicated		Methanoregula	boonei	6A8	5.1	4.5_5.5	36	Oct_40		0.002_0.145	NA	rod	not_indicated	45	DSM21154_JCM14090		CP000780	negative	bog	Yes
soil	2007	10.1099_ijs.0.64438_0	DQ285420					not_indicated	no	aesculin_hydrolysis__catalase_positive__gelatinase	Actinomadura	rudentiformis	_HMC1T			37.5	30_45			no	not_indicated	not_indicated	45	DSM44962T_NRRLB_24458T	acetate__adonitol__arabinose__arginine__cellobiose__fructose__galactose__glucose__histidine__lactose__mannitol__mannose__melibiose__myo_inositol__phenylalanine__raffinose__rhamnose__ribose__salicin__serine__sucrose__threonine__trehalose__xylose		positive		No
other	2006	10.1099_ijs.0.64354_0	DQ286387	53.8	facultative_anaerobe	1.8	0.7	flagella	no	oxidase_positive__urease_positive	Shewanella	loihica	PV_4	06_Aug	4.5_10	18	0_42	2	0.5_5	yes	rod	chain	1911	ATCCBAA_1088_DSM17748	citric_acide_citrate__galactose__glucose__lactate__malate__malonic_acid_malonate__maltose__N_acetylgulcosamine__succinic_acid_succinate		negative	hydrothermal_vent	No
other	2007	10.1099_ijs.0.64245_0	DQ291145						not_indicated	aesculin_hydrolysis__gelatinase__urease_positive	Lentzea	kentuckyensis	LDDC_2876_05T			23.5	Oct_37		<7	yes		not_indicated	1780	NRRLB_24416T_DSM44909T	arabinose__cellobiose__citric_acide_citrate__dextrin__fructose__galactose__glucose__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__melibiose__myo_inositol__raffinose__rhamnose__salicin__sorbitol__succinic_acid_succinate__sucrose__trehalose__xylose			equine_placenta	No
seawater	2006	10.1099_ijs.0.64232_0	DQ294290	42.5	aerobic	1.5_4	0.4_0.7	gliding	no	alkaline_phosphatase__catalase_positive__oxidase_positive	Leeuwenhoekiella	blandensis	MED217	7	7	28_30	Oct_41	02_Apr	0_17	yes	rod	chain	1489	CECT7118_CCUG51940	arabinose__glucose__lactose__mannose__sucrose		negative		No
other	2012	10.1099_ijs.0.021451_0	DQ296030	55.2	NA	3.0_4.0	0.4_0.5	flagella	not_indicated		Desulfovibrio	arcticus	B15	6.7_7.0	6.0_8.0	24	_30	0.20	0_2.0	NA	not_indicated	not_indicated	33	VKM_B_2367_DSM_21064	acetate__ethanol__formic_acid__lactate__pyruvic_acid_pyruvate		negative	Cryopeg_supercooled_water_brine	No
soil	2009	10.1099_ijs.0.002295_0	DQ296031	31.5	anaerobic	6.5	1.1	motile__but_unspecified_structure	yes		Clostridium	tagluense	A121T	6.85	6.0_8.0	17.5	15_28	1	0_14	no	rod	not_indicated	1421	VKMB_2369T_DSM17763	fructose__glucose__maltose__trehalose		positive		No
other	2007	10.1099_ijs.0.64502_0	DQ298074	38.1	aerobic	2.15	0.9	flagella	yes	catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Oceanobacillus	chironomi	T3944DT	8.5	6.5_10	37	Dec_46	2	0_11	no	rod	chain	255	LMG23627T_DSM18262T	2_3_butanediol__alaninamide__alpha_ketovaleric_acid__dextrin__fructose__galactose__gelatin__glucose__glycerol__lactose__maltose__mannose__melibiose__N_acetylgulcosamine__ribose		positive	chironomid_egg_mass_	Yes
marine_sediment	2007	10.1099_ijs.0.64863_0	DQ304436.	54.5	aerobic	0.605	0.5	non_motile	not_indicated	alkaline_phosphatase__catalase_positive__oxidase_positive	Altererythrobacter	epoxidivorans	JCS350T_	6.5	6_8.5	35	20_40	2	0.5_9	yes	rod	not_indicated	2207	KCCM42314T_JCM13815T	adipate__glutamic_acid__maltose__mannitol__N_acetylgulcosamine__proline__serine__trehalose__Tween_40__Tween_80		negative		Yes
other	2007	10.1099_ijs.0.64279_0	DQ307735	38.5	microerophile	0.95	0.3	flagella	no	alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Helicobacter	equorum	EqF1T			37			<1.5		rod	not_indicated	213	LMG23362T_CCUG52199T			negative	horse_feces	No
soil	2007	10.1099_ijs.0.64533_0	DQ309072	56.6	aerobic	1.15	0.55	non_motile	yes	aesculin_hydrolysis__catalase_positive__indole_production__nitrate_reduction_to_nitrite	Paenibacillus	soli	DCY03T	8.5	08_Sep	31	20_42	1	0_2	yes	rod	not_indicated	146	KCTC13010T_LMG23604T	5_ketoguconate__arabinose__cellobiose__fructose__galactose__glucose__glycogen__lactose__maltose__melibiose__methyl_beta_D_glucoside__raffinose__ribose__salicin__sucrose__trehalose__xylose		positive		No
soil	2007	10.1099_ijs.0.64774_0	DQ311081	73.9	aerobic			not_indicated	yes	catalase_positive__H2S_production	Streptomyces	vietnamensis	GIMV4.0001T							yes	rod	chain	1770	CCTCCM205143T_IAM15340T	arabinose__fructose__galactose__glucose__melibiose__raffinose__rhamnose__sucrose__xylose		positive		No
plant_associated	2007	10.1099_ijs.0.64363_0	DQ311090	59	aerobic	01_Mar	0.3_0.5	motile__but_unspecified_structure	no		Mesorhizobium	albiziae	CCBAU_61158T			28				no	rod	not_indicated	1192	LMG23507T_USDA4964T	fructose__lactose__malate__maltose__melibiose__raffinose__sucrose__xylose		negative		No
other	2006	10.1099_ijs.0.64293_0	DQ312294	35.7	facultative_aerobe	02_Mar	0.4_0.5	gliding	no	alkaline_phosphatase__catalase_positive__oxidase_positive	Mariniflexile	gromovii	KMM6038	7	7	23_25	Apr_37	0	0_6	yes	rod	chain	1635	KCTC12570_LMG22578	lactose__mannose__sucrose		negative	sea_urchin	No
freshwater_river__lake__pond	2007	10.1099_ijs.0.65168_0	DQ314581	69.5	facultative_anaerobe	3.25	0.35	flagella	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Chitinilyticum	aquatile	c14T	9	07_Nov	27.5	15_40	0.375	0_0.75	no	rod	not_indicated	2854	LMG23346T_BCRC17533T	acetate__alanine__alanine__alpha_ketovaleric_acid__cellobiose__dextrin__fructose__gluconic_acid__glucose__lactate__mannose__N_acetylgulcosamine__sucrose__trehalose		negative		Yes
freshwater_river__lake__pond	2007	10.1099_ijs.0.65168_0	DQ314581	69.5	facultative_anaerobe	3.25	0.35	flagella	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Chitinilyticum	aquatile	c14T	8	07_Nov	32.5	15_40	0.25	0_0.75	no	rod	not_indicated	2854	LMG23346T_BCRC17533T	acetate__alanine__alanine__alpha_ketovaleric_acid__cellobiose__dextrin__fructose__gluconic_acid__glucose__lactate__mannose__N_acetylgulcosamine__sucrose__trehalose		negative		Yes
other	2006	10.1099_ijs.0.64302_0	DQ314760	33.6	aerobic	2_3.5	0.3	gliding	no	acid_phosphatase__alkaline_phosphatase	Tenacibaculum	aestuarii	SMK_4	7.5_8.5	5.5_8.5	30_37	Sep_41	0_7	0_7	yes	rod	chain	1577	KCTC12569_JCM13491			negative	tidal_flat_sediment	No
other	2009	10.1099_ijs.0.002527_0	DQ317608	72.8	aerobic			non_motile	no	catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Janibacter	hoylei	PVAS_1T	9	05_Oct	30	20_40		05_Oct	no	not_indicated	clump	2977	MTCC8307T_DSM21601T_CCUG56714T	succinic_acid_succinate		positive	cryotubes	No
soil	2006	10.1099_ijs.0.64294_0	DQ318789	36.8	aerobic	1.06_2.24	0.58_0.85	non_motile	no	aesculin_hydrolysis__catalase_positive__indole_production__oxidase_positive	Chryseobacterium	taiwanense	Soil_3_27	06_Aug	05_Oct	30	May_42	4	4	yes	rod	chain	1771	BCRC17412_IAM15317_LMG23355	alpha_cyclodextrin__fructose__glycerol__raffinose		negative		No
soil	2007	10.1099_ijs.0.64246_0	DQ321750	72.6	aerobic	0.9	0.9	non_motile	no	acid_phosphatase__aesculin_hydrolysis__catalase_positive__gelatinase__urease_positive	Humicoccus	flavidus	DS_52T_	6.5	5.0_8.5	25	Apr_32		<4	yes	cocci	not_indicated	56	KCTC19127T_CIP108919T_	arabinose__cellobiose__fructose__galactose__glucose__malate__maltose__mannose__salicin__succinic_acid_succinate__sucrose__trehalose__xylose		positive		No
hotspring	2010	10.1099_ijs.0.013466_0	DQ322070	67.8	aerobic	2.3_2.7	0.8_1	flagella	no	catalase_positive__oxidase_positive	Chelatococcus_	Chelatococcus_sambhunathii	HT4	7.5_8	6_8.5	37_42	20_50		0_3	NA	rod	not_indicated	861	DSM18167_JCM14988	alanine__asparagine__aspartic_acid_aspartate__citric_acide_citrate__glutamic_acid__histidine__leucine__proline__serine		negative		No
hotspring	2010	10.1099_ijs.0.013466_0	DQ322070	67.8	anaerobic	2.5	0.9	flagella	not_indicated	catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Chelatococcus	sambhunathii	HT4		6_8.5		20_50			NA	rod	none	861	DSM_18167_JCM_14988	alanine__alanine__asparagine__aspartic_acid_aspartate__citric_acide_citrate__glutamic_acid__histidine__leucine__proline__serine		negative		No
soil	2009	10.1099_ijs.0.65130_0	DQ333897	46	aerobic	3		non_motile	yes	catalase_positive__oxidase_positive	Paenisporosarcina	quisquiliarum	SK_55T_	07_Aug	06_Sep	25_30	15_37	1.5	0_3	yes	rod	not_indicated	1364	MTCC7604T_JCM14041T	fructose__galactose__glucose__sucrose		positive		Yes
